"Munic.da un.saúde";"JANEIRO/2025";"FEVEREIRO/2025";"MARÇO/2025";"ABRIL/2025";"MAIO/2025";"JUNHO/2025";"JULHO/2025";"AGOSTO/2025";"SETEMBRO/2025";"OUTUBRO/2025";"NOVEMBRO/2025";"DEZEMBRO/2025";" Total"
"430230 BOM JESUS";"0";"17";"0";"13";"13";"9";"7";"0";"0";"21";"6";"0";"86"
"430235 BOM PRINCIPIO";"14";"17";"44";"21";"15";"29";"20";"37";"18";"27";"19";"29";"290"
"430237 BOM PROGRESSO";"10";"6";"6";"2";"6";"3";"8";"9";"9";"7";"7";"5";"78"
"430240 BOM RETIRO DO SUL";"0";"0";"0";"0";"0";"0";"26";"71";"42";"40";"35";"34";"248"
"430245 BOQUEIRAO DO LEAO";"10";"6";"19";"20";"18";"20";"20";"18";"17";"19";"19";"18";"204"
"430250 BOSSOROCA";"1";"23";"11";"17";"26";"18";"1";"2";"33";"29";"4";"15";"180"
"430258 BOZANO";"11";"16";"8";"11";"7";"11";"10";"12";"11";"16";"5";"35";"153"
"430260 BRAGA";"1";"1";"5";"6";"1";"16";"10";"6";"5";"7";"14";"2";"74"
"430265 BROCHIER";"13";"24";"28";"0";"28";"13";"15";"14";"11";"26";"27";"1";"200"
"430270 BUTIA";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"3"
"430280 CACAPAVA DO SUL";"29";"33";"35";"46";"58";"55";"61";"27";"72";"160";"113";"111";"800"
"430290 CACEQUI";"28";"24";"23";"40";"20";"10";"24";"44";"24";"34";"11";"29";"311"
"430300 CACHOEIRA DO SUL";"165";"248";"201";"171";"243";"266";"170";"152";"162";"194";"220";"190";"2382"
"430310 CACHOEIRINHA";"39";"37";"37";"45";"24";"30";"29";"7";"41";"16";"1";"50";"356"
"430320 CACIQUE DOBLE";"32";"27";"39";"36";"25";"45";"26";"33";"26";"18";"39";"24";"370"
"430330 CAIBATE";"19";"9";"0";"15";"16";"21";"26";"11";"13";"23";"14";"27";"194"
"430340 CAICARA";"24";"21";"39";"21";"7";"10";"6";"30";"22";"19";"21";"66";"286"
"430350 CAMAQUA";"232";"470";"118";"268";"225";"222";"229";"240";"236";"237";"209";"246";"2932"
"430355 CAMARGO";"0";"2";"3";"0";"3";"4";"3";"3";"1";"11";"8";"1";"39"
"430367 CAMPESTRE DA SERRA";"7";"8";"0";"0";"8";"11";"8";"1";"0";"22";"8";"0";"73"
"430370 CAMPINA DAS MISSOES";"29";"11";"26";"17";"21";"2";"17";"14";"25";"19";"21";"52";"254"
"430380 CAMPINAS DO SUL";"9";"11";"13";"9";"15";"7";"13";"25";"5";"18";"16";"13";"154"
"430390 CAMPO BOM";"348";"242";"456";"311";"380";"379";"355";"388";"358";"420";"338";"334";"4309"
"430400 CAMPO NOVO";"0";"2";"15";"6";"14";"4";"11";"7";"7";"10";"14";"16";"106"
"430410 CAMPOS BORGES";"1";"6";"8";"8";"7";"6";"5";"12";"10";"9";"6";"11";"89"
"430420 CANDELARIA";"34";"71";"61";"60";"10";"76";"89";"41";"60";"128";"54";"47";"731"
"430430 CANDIDO GODOI";"29";"9";"8";"29";"35";"0";"10";"4";"15";"16";"10";"31";"196"
"430435 CANDIOTA";"20";"8";"5";"11";"10";"5";"6";"7";"2";"20";"7";"13";"114"
"430440 CANELA";"127";"188";"155";"87";"160";"132";"102";"76";"183";"128";"202";"196";"1736"
"430450 CANGUCU";"100";"98";"104";"96";"72";"129";"0";"115";"102";"100";"96";"109";"1121"
"430460 CANOAS";"641";"976";"390";"669";"235";"30";"380";"470";"294";"871";"626";"748";"6330"
"430461 CANUDOS DO VALE";"0";"0";"0";"0";"0";"0";"4";"7";"6";"7";"7";"6";"37"
"430462 CAPAO BONITO DO SUL";"7";"6";"3";"5";"7";"1";"3";"7";"3";"3";"2";"3";"50"
"430463 CAPAO DA CANOA";"49";"90";"135";"157";"128";"91";"164";"81";"117";"145";"170";"86";"1413"
"430465 CAPAO DO CIPO";"0";"1";"8";"8";"10";"10";"11";"7";"0";"0";"1";"9";"65"
"430466 CAPAO DO LEAO";"9";"55";"39";"30";"26";"0";"34";"43";"31";"40";"1";"0";"308"
"430467 CAPIVARI DO SUL";"42";"47";"49";"37";"39";"21";"22";"28";"31";"26";"16";"30";"388"
"430468 CAPELA DE SANTANA";"19";"28";"12";"25";"44";"53";"13";"25";"34";"31";"49";"62";"395"
"430469 CAPITAO";"9";"7";"6";"13";"9";"7";"18";"9";"17";"9";"8";"8";"120"
"430470 CARAZINHO";"162";"196";"276";"185";"215";"189";"198";"202";"196";"289";"160";"144";"2412"
"430471 CARAA";"27";"16";"43";"28";"14";"37";"34";"30";"24";"25";"17";"28";"323"
"430480 CARLOS BARBOSA";"119";"95";"150";"148";"184";"116";"126";"131";"160";"212";"126";"141";"1708"
"430485 CARLOS GOMES";"0";"4";"3";"3";"0";"1";"1";"6";"9";"11";"0";"8";"46"
"430490 CASCA";"16";"31";"23";"20";"36";"26";"27";"16";"35";"26";"11";"36";"303"
"430495 CASEIROS";"0";"0";"5";"0";"0";"0";"12";"1";"8";"3";"7";"6";"42"
"430500 CATUIPE";"50";"42";"34";"43";"54";"32";"27";"30";"42";"45";"51";"105";"555"
"430510 CAXIAS DO SUL";"1091";"1258";"1123";"1194";"1193";"1089";"1334";"1242";"1098";"1232";"758";"1374";"13986"
"430511 CENTENARIO";"2";"9";"6";"5";"0";"7";"8";"0";"0";"0";"10";"5";"52"
"430512 CERRITO";"8";"8";"4";"9";"0";"0";"10";"6";"8";"10";"0";"0";"63"
"430513 CERRO BRANCO";"4";"12";"8";"8";"11";"3";"12";"4";"8";"4";"4";"19";"97"
"430515 CERRO GRANDE";"13";"5";"25";"18";"0";"14";"8";"12";"0";"0";"5";"7";"107"
"430520 CERRO LARGO";"26";"16";"21";"28";"8";"35";"6";"33";"6";"32";"13";"19";"243"
"430530 CHAPADA";"24";"16";"23";"34";"38";"26";"45";"33";"64";"17";"24";"38";"382"
"430535 CHARQUEADAS";"74";"103";"138";"120";"164";"93";"98";"85";"175";"200";"207";"223";"1680"
"430537 CHARRUA";"14";"4";"13";"13";"14";"10";"10";"26";"17";"17";"10";"21";"169"
"430540 CHIAPETTA";"0";"4";"1";"3";"3";"3";"12";"28";"29";"60";"41";"17";"201"
"430543 CHUI";"9";"16";"12";"11";"9";"7";"39";"15";"8";"45";"22";"10";"203"
"430545 CIDREIRA";"28";"18";"33";"10";"36";"26";"42";"33";"58";"36";"31";"64";"415"
"430550 CIRIACO";"18";"17";"11";"14";"11";"11";"23";"15";"15";"28";"43";"20";"226"
"430558 COLINAS";"9";"0";"19";"0";"7";"1";"9";"9";"24";"9";"9";"2";"98"
"430560 COLORADO";"5";"5";"5";"1";"7";"11";"2";"13";"15";"8";"40";"12";"124"
"430570 CONDOR";"11";"18";"18";"32";"35";"18";"21";"15";"23";"27";"21";"22";"261"
"430580 CONSTANTINA";"11";"22";"38";"24";"49";"25";"37";"24";"30";"39";"32";"23";"354"
"430583 COQUEIRO BAIXO";"8";"8";"8";"22";"8";"12";"8";"7";"7";"4";"8";"6";"106"
"430585 COQUEIROS DO SUL";"5";"15";"6";"3";"16";"8";"16";"26";"8";"21";"18";"21";"163"
"430587 CORONEL BARROS";"0";"0";"10";"14";"1";"0";"23";"8";"4";"27";"2";"42";"131"
"430590 CORONEL BICACO";"14";"6";"10";"7";"18";"1";"7";"1";"13";"9";"6";"3";"95"
"430593 CORONEL PILAR";"14";"0";"12";"22";"12";"8";"8";"6";"4";"5";"8";"22";"121"
"430595 COTIPORA";"7";"3";"5";"6";"7";"5";"6";"3";"1";"0";"5";"0";"48"
"430597 COXILHA";"10";"12";"2";"0";"0";"18";"14";"4";"18";"10";"13";"6";"107"
"430600 CRISSIUMAL";"15";"45";"41";"38";"49";"42";"49";"37";"56";"36";"58";"36";"502"
"430605 CRISTAL";"0";"0";"0";"8";"4";"11";"2";"3";"0";"5";"5";"2";"40"
"430607 CRISTAL DO SUL";"6";"8";"8";"10";"8";"1";"5";"2";"3";"2";"22";"10";"85"
"430610 CRUZ ALTA";"252";"237";"101";"136";"184";"123";"240";"158";"95";"98";"212";"200";"2036"
"430613 CRUZALTENSE";"4";"2";"7";"4";"2";"2";"3";"6";"3";"8";"6";"3";"50"
"430620 CRUZEIRO DO SUL";"34";"37";"35";"44";"41";"35";"32";"33";"37";"37";"35";"35";"435"
"430630 DAVID CANABARRO";"17";"37";"36";"42";"42";"37";"24";"17";"29";"30";"50";"58";"419"
"430632 DERRUBADAS";"11";"7";"8";"6";"11";"8";"4";"6";"6";"6";"20";"7";"100"
"430635 DEZESSEIS DE NOVEMBRO";"6";"17";"12";"13";"20";"8";"1";"14";"13";"16";"14";"10";"144"
"430637 DILERMANDO DE AGUIAR";"1";"1";"0";"1";"1";"7";"7";"19";"14";"38";"17";"32";"138"
"430640 DOIS IRMAOS";"168";"162";"146";"115";"135";"139";"167";"152";"107";"182";"162";"156";"1791"
"430642 DOIS IRMAOS DAS MISSOES";"0";"5";"0";"0";"0";"1";"15";"0";"10";"13";"12";"12";"68"
"430645 DOIS LAJEADOS";"16";"16";"15";"16";"12";"15";"11";"13";"12";"14";"11";"11";"162"
"430650 DOM FELICIANO";"0";"4";"3";"11";"15";"15";"12";"17";"0";"6";"26";"6";"115"
"430655 DOM PEDRO DE ALCANTARA";"16";"8";"29";"8";"24";"42";"13";"13";"18";"18";"17";"2";"208"
"430660 DOM PEDRITO";"66";"40";"43";"45";"76";"32";"58";"7";"42";"77";"43";"37";"566"
"430670 DONA FRANCISCA";"4";"8";"7";"6";"16";"15";"9";"12";"4";"8";"17";"19";"125"
"430673 DOUTOR MAURICIO CARDOSO";"28";"5";"10";"15";"20";"5";"20";"13";"18";"19";"10";"30";"193"
"430675 DOUTOR RICARDO";"13";"12";"6";"6";"11";"14";"16";"9";"6";"9";"5";"3";"110"
"430680 ENCANTADO";"70";"70";"66";"69";"72";"103";"116";"95";"103";"74";"80";"66";"984"
"430692 ENGENHO VELHO";"5";"8";"12";"14";"9";"17";"8";"8";"0";"8";"3";"0";"92"
"430693 ENTRE-IJUIS";"5";"15";"7";"20";"22";"15";"0";"36";"9";"7";"8";"47";"191"
"430695 ENTRE RIOS DO SUL";"4";"3";"2";"0";"0";"0";"0";"0";"0";"0";"5";"5";"19"
"430697 EREBANGO";"0";"1";"3";"0";"0";"1";"1";"0";"0";"0";"2";"2";"10"
"430700 ERECHIM";"182";"299";"327";"216";"256";"212";"295";"271";"207";"278";"330";"160";"3033"
"430705 ERNESTINA";"20";"7";"3";"0";"0";"6";"14";"5";"1";"34";"16";"8";"114"
"430710 HERVAL";"0";"5";"5";"12";"0";"0";"12";"8";"8";"12";"69";"30";"161"
"430720 ERVAL GRANDE";"17";"8";"23";"4";"10";"7";"10";"13";"13";"22";"19";"13";"159"
"430730 ERVAL SECO";"24";"20";"16";"17";"0";"0";"23";"20";"27";"17";"1";"0";"165"
"430740 ESMERALDA";"1";"2";"9";"0";"0";"8";"0";"0";"0";"17";"9";"0";"46"
"430745 ESPERANCA DO SUL";"6";"11";"19";"28";"11";"5";"3";"13";"11";"8";"15";"20";"150"
"430750 ESPUMOSO";"22";"17";"33";"18";"40";"19";"41";"34";"42";"26";"47";"39";"378"
"430755 ESTACAO";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"4"
"430760 ESTANCIA VELHA";"0";"230";"198";"181";"123";"185";"97";"0";"0";"0";"0";"109";"1123"
"430770 ESTEIO";"274";"194";"225";"211";"174";"178";"171";"161";"167";"212";"159";"111";"2237"
"430780 ESTRELA";"67";"56";"55";"49";"61";"46";"63";"53";"69";"72";"60";"95";"746"
"430781 ESTRELA VELHA";"34";"16";"21";"27";"26";"28";"25";"25";"15";"25";"14";"17";"273"
"430783 EUGENIO DE CASTRO";"0";"3";"5";"4";"7";"0";"2";"3";"8";"5";"5";"12";"54"
"430786 FAGUNDES VARELA";"2";"0";"0";"2";"3";"1";"2";"3";"2";"0";"1";"2";"18"
"430790 FARROUPILHA";"169";"156";"502";"185";"152";"142";"195";"166";"307";"414";"137";"178";"2703"
"430800 FAXINAL DO SOTURNO";"35";"31";"33";"34";"33";"30";"23";"42";"35";"53";"36";"50";"435"
